;entrypoints E71v45
;$TA$ 12.03.07
;247 ук
ALARM_CLOCK --- A06E81E5
ALERTCALLS_FROM --- A06E8A4B
ANIM_SHUTDOWN --- A06E877D
ANIM_STARTUP --- A06E8769
ANY_KEY_ANSWER --- A06E8A5D 
AUDIO_CALLS --- A06E851D
AUDIO_MESSAGES --- A06E85AD
AUDIO_ORGANISER --- A06E8631
AUDIO_WALKY --- A06E8573
AUTO_KEY_LOCK --- A06E8C6D
AUTO_OFF --- A06E8B07
BACKLIGHT_DURAT --- A06E87EB
BAND_SELECTION --- A06E8E63
BARRINGS --- A06E8DB5
BIG_LETTERS --- A06E87AB
BLUETOOTH --- A06E8893
BLUETOOTH_SETUP --- A06E890B
BUDDHIST_YEAR --- A06E8C2D
BUSINESS_CARD --- A06E7BC5
CALCULATOR --- A06E820B/
CALL_DIVERT --- A06E8A43
CALL_WAITING --- A06E8A31
CAM_RECORD_VID --- A06E7CC5
CAM_TAKE_PICT --- A06E7CB1
CARKIT_MENU --- A06E8EA3
CARKIT_PTT --- A06E8EFB
CARKIT_VOL_DOWN --- A06E8ED3
CARKIT_VOL_UP --- A06E8EE7
CBS_SERVICES --- A06E7FCD
CERTIFICATES --- A06E8DAD
CHARGE_VIA_USB --- A06E8EBF
CHOOSE_NETWORK --- A06E8E2F
CONTACTS_LIST --- A06E7BA5
CONTACT_GROUPS --- A06E7BDD
CONTACT_MOSTUSE --- A06E7C0D
CONTACT_NEW --- A06E7BB5
CONTACT_ONLINE --- A06E7BED
CONTACT_SIM --- A06E7BFD
CONTEXT_HANDLER --- A06E8913
CONTRAST --- A06E87CF
COUNTDOWN --- A06E8339
COUNTRY_CODES --- A06E8363
DATE_CALCULATOR --- A06E834B
DATE_FORMAT --- A06E8C09
DEVELOPER_MENU --- A06E83AD
DEVICE_INBOX --- A06E8383
DEVICE_MANAGER --- A06E8B93
DICT_MACHINE --- A06E816B
DIRECT_CALL --- A06E8D57
DOWNLOAD_ASSIST --- A06E7C57
DYNAMIC_LIGHT --- A06E8815
EMERGENCY_CALL --- A06E9051
EMO_DEVICE --- A06E8F89
EX_APPLICATIONS --- A06E849B
EX_GAMES --- A06E8471
EX_MISC --- A06E84BD
EX_PICTURES --- A06E83E9
EX_SOUNDS --- A06E83C9
EX_THEMES --- A06E842D
EX_VIDEOS --- A06E840B
FAK_CHANGE_DLG --- A06E901F
FAK_DIRECTLINE --- A06E9007
FAK_NAVIKEYS --- A06E8995
FAK_NUMBERKEYS --- A06E89BF
FAK_SOFTKEYS --- A06E8975
FAST_SEARCH --- A06E88E75
FAX_RECEIVE --- A06E7893F
FAX_SEND_VOICE --- A06E8925
FFS_FORMAT --- A06E8B29
GPRS --- A06E88EB
GPRS_STATUS --- A06E88FD
GRPS_TEST --- A06E8391
HEADSET_MENU --- A06E8EB5
HIDE_ID --- A06E8A1F
ILLUMINATION --- A06E87BD
IMAIL_COMP_MSG --- A06E8F09
IMAIL_DRAFTS --- A06E8F2D
IMAIL_ILOCK --- A06E8F73
IMAIL_INBOX --- A06E8F15
IMAIL_MENU --- A06E8F69
IMAIL_OUTBOX --- A06E8F21
IMAIL_SAVED_MSG --- A06E8F45
IMAIL_SENT --- A06E8F51
IMAIL_SETTINGS --- A06E8F5D
IMAIL_SHOW_MENU --- A06E8EFD
IMAIL_TEMPLATES --- A06E8F39
INFO_TONES --- A06E8AF5
INFUSIO_ESM --- A06E9031
INSERT_PLUS --- A06E8FE7
INSTANT_MESSAGE --- A06E7F91
INT_BOOKMARKS --- A06E7C79
INT_BROWSER --- A06EF7C83
INT_ENTER_URL --- A06E7C6F
INT_HISTORY --- A06E7C9D
INT_STORED_PAGE --- A06E7CA7
KEY_LOCK --- A06E8373
KEY_TONES --- A06E8AE3
