ELSE_DEVELP_MNU;Developer Menu
CKLK_CK_MAINMNU;Главное меню
CNCT_CRT_ADBOOK;Создать новую запись в адресной книге
CNCT_CRT_CONTCT;Создать новый контакт
CNCT_CRT_PHBOOK;Создать новую запись в телефонной книге
ELSE_ALARMCLOCK;Будильник
MESG_WRT_NEMAIL;Новое эл.письмо
STUP_MASTERRESE;Установка стандартных настроек
MESG_WRT_NEWEMS;Новое SMS
MESG_WRT_NEWMMS;Новое MMS
MESG_INBOX_DIRC;Папка Входящие
RECD_DIALEDCALL;Набранные номера
RECD_MISSEDCALL;ропущенные вызовы
RECD_RECVEDCALL;Принятые вызовы
JAVA_APPLI_MENU;Приложения
JAVA_GAMES_MENU;Игры
CNCT_DEFAU_BOOK;Телефонный справочник по умолчанию
CNCT_ADDRESSBOK;Адресная книга
CNCT_OWN_NUMBER;Собственные номера
ELSE_DOWN_ASSIS;Помощник загрузки
ELSE_COUNT_DOWN;Таймер
ORGZ_DICT_MACHI;Записи диктофона
ELSE_CALCULATOR;Калькулятор
ELSE_STOP_WATCH;Секундомер
ELSE_UNIT_CONVE;Конвертер величин
INTR_STRTBROWSR;Открыть браузер
ELSE_SATKITMENU;SIM Меню
STUP_BABYSITTER;Прямой вызов(няня)
STUP__GPRS_INFO;Информация GPRS
STUP__INFOTONES;Сервисные сигналы
STUP__WALLPAPER;Обои
STUP_AUTOKEYLOK;Блокировка клавиш
STUP_BANDSELECT;Диапазон
STUP_BIGLETTERS;Прописные буквы
STUP_BUDDSTYEAR;Буддист. год
STUP_CALLSCREEN;Фильтр звонков
STUP_CALLWAITIN;Ожидание вызова
STUP_CH_PINCODE;Изменить PIN
STUP_CHANGE_NET;Выбор сети
STUP_CLK_AUTOOF;Автоматическое выключение
STUP_CLOCK_MENU;Меню Часы
STUP_CONCEAL_ID;Инкогнито
STUP_CONCT_BLUE;Bluetooth вкл\выкл
STUP_CONCT_GPRS;GPRS вкл\выкл
STUP_CONCT_IRDA;ИК-порт вкл\выкл
STUP_CONNEC_MNU;Меню Передача данных
STUP_CTIME_DATE;Настройки Дата\время
STUP_DATSERVICE;Меню Службы данных
STUP_DISPLAYMNU;Меню Индикация
STUP_DLIGHT_MNU;Меню Динамическая подсветка
STUP_FASTSEARCH;Быстрый поиск сети
STUP_FAXDAT_MNU;Меню Факс\данные
STUP_FILESYSTEM;Card-Explorer
STUP_FORMATDATE;Формат даты
STUP_HTTPPROFIL;HTTP-профиль
STUP_ILLUMINATI;Подсветка
STUP_KEYTON_MNU;Сигнал нажатия клавиш
STUP_LANGUAGMNU;Меню Выбор языка
STUP_MINUTEBEEP;Ежеминутный сигнал
STUP_MNU_DIVERT;Переадресация
STUP_NET_USERGR;Абонентская группа
STUP_NETWORKINF;Сетевая информация
STUP_NETWRK_MNU;Меню Сеть
STUP_ONLYPROTSI;Только защищен.SIM
STUP_OWNGREETIN;Приветствие
STUP_PCALL_MENU;Меню Настройка соединения
STUP_PHONE_CODE;Код телефона
STUP_PHONE_MENU;Меню Настройка телефона
STUP_PHONEIDENT;Идентификация телефона
STUP_PREFERNETW;Предпочтительная сеть
STUP_PROTECBOOK;Настройка защищенных номеров
STUP_RINGSE_MNU;Настройка звонка вкл\выкл\гудок
STUP_RINGTO_MNU;Меню Мелодии звонка
STUP_SCREENSAVR;Настройка заставки
STUP_SECPIN_MNU;Контроль PIN
STUP_SECUR_MENU;Меню Безопасность
STUP_SETCONTRAS;Меню Контраст
STUP_SETPUPMENU;Меню Настройки
STUP_SHOW_CLOCK;Показать часы
STUP_SHUTDOWNAN;Анимация при выключенииr
STUP_SILENTALER;Вибра вкл\выкл
STUP_SOFTVERSIO;Версия прошивки
STUP_STARTUPANI;Анимация при включении
STUP_TEXT_INPUT;Ввод текста
STUP_THEMES_MNU;Меню Темы
